route_key,route_id,origin,destination,region,distance_km,avg_transit_days
1,RTE-001,Santiago,Lagos,Latin America,2298,2
2,RTE-002,Tokyo,Seoul,Asia Pacific,12347,13
3,RTE-003,Dhaka,Singapore,Asia Pacific,2898,3
4,RTE-004,Warsaw,Tokyo,Europe,6205,11
5,RTE-005,Sao Paulo,Bangkok,, ,6
6,RTE-006,San Francisco,Kuala Lumpur,North America,10068,17
7,RTE-007, ,Manila,Asia Pacific,10542,19
8,RTE-008,Nairobi,Singapore,Africa,9448,11
9,RTE-009,Cairo,Dallas,Africa,2507,3
10,RTE-010,Tokyo,Cape Town,Asia Pacific,3357,4
11,RTE-011,Karachi,Sao Paulo,Asia Pacific,1428,
12,RTE-012,Chennai,,Asia Pacific,6510,7
13,RTE-013,Dallas,Dubai,North America,11085,14
14,RTE-014,Berlin,Singapore,Europe, ,8
15,RTE-015,Miami,Tunis,,812,1
16,RTE-016,Amsterdam, ,Europe,10523,
17,RTE-017,Beirut,Sydney,Middle East,11043,14
18,RTE-018,Stockholm, ,Europe,7114,10
19,RTE-019,Santiago,Warsaw,Latin America,1576,2
20,RTE-020,Bogota,Osaka,Latin America,4375,5
21,RTE-021,Chennai,Cape Town,Asia Pacific,6164,7
22,RTE-022,Buenos Aires,Lima,Latin America,5829,6
23,RTE-023,Singapore,Colombo,Asia Pacific,6390,8
24,RTE-024,Sydney,New York,Asia Pacific,12845,16
25,RTE-025,,Shanghai,North America,,6
26,RTE-026,Sydney,Colombo,Asia Pacific,5459,10
27,RTE-027,Cape Town,Dhaka,Africa,9665,16
28,RTE-028,Paris,Nairobi,Europe,4498,6
29,RTE-029,Bangkok,San Francisco,Asia Pacific,3132,4
30,RTE-030,Warsaw,Shanghai,Europe,12273,15
31,RTE-031,Barcelona,Casablanca,Europe,,2
32,RTE-032, ,Los Angeles,North America,5293,6
33,RTE-033,Los Angeles,Accra,North America,12286,17
34,RTE-034,Bangkok,Buenos Aires,Asia Pacific,2725,4
35,RTE-035,Barcelona,Riyadh,Europe,11733,20
36,RTE-036,Karachi,Guangzhou,Asia Pacific,12353,16
37,RTE-037,Frankfurt,Rotterdam,Europe,11305,
38,RTE-038,Warsaw,Sao Paulo,Europe,6029,7
39,RTE-039,Nairobi,Tokyo,Africa,11528,16
40,RTE-040,,Dhaka,Asia Pacific,2719,
41,RTE-041,Sydney,Stockholm,Asia Pacific,9114,14
42,RTE-042,,Kuala Lumpur,North America, ,13
43,RTE-043,Berlin, ,Europe,,15
44,RTE-044,Houston,,North America,11115,16
45,RTE-045,New York,Lima,North America,11927,21
46,RTE-046,,Seoul,Africa,9486,10
47,RTE-047,Sao Paulo,London,Latin America,5981,7
48,RTE-048,Dublin,Los Angeles,Europe,,16
49,RTE-049,Houston,Nairobi,North America,2785,4
50,RTE-050,Guangzhou,Tunis,Asia Pacific,10548,12
51,RTE-051,Hamburg,Johannesburg,Europe,9183,16
52,RTE-052,Warsaw,Kuala Lumpur,Europe,11852,15
53,RTE-053,Cape Town,Beirut,Africa,2889,4
54,RTE-054,Toronto,Dallas,North America,783,1
55,RTE-055,Dar es Salaam,Lisbon,Africa,10734,12
56,RTE-056,Houston,Vancouver,North America,9590,11
57,RTE-057,San Francisco,Chicago,North America,8530,10
58,RTE-058,Sao Paulo,Tokyo,Latin America,4007,7
59,RTE-059,Osaka,Tokyo,Asia Pacific,12715,21
60,RTE-060,Singapore,Tunis,Asia Pacific,7796,12
61,RTE-061,Buenos Aires,Guangzhou,Latin America,12464,15
62,RTE-062,Johannesburg,Seoul,Africa,13849,
63,RTE-063,New York,Bogota,North America,12836,15
64,RTE-064,Berlin,Seoul,Europe,3027,4
65,RTE-065,Abidjan,Johannesburg,Africa,1781,2
66,RTE-066,,Casablanca,Latin America,5599,7
